Comment,Designator,Footprint,LCSC, LCSC
"USB_A","J1","Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal","","C46394"
"USB_A","J2","Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal","","C86461"
"Conn_01x04","J3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x02","J4","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"DMN6140L-13","Q1","Package_TO_SOT_SMD:SOT-23","","C211403"
"R10K","R1","Resistor_SMD:R_0805_2012Metric","","C17414"
"SW_Push","SW1,SW2","Button_Switch_SMD:SW_SPST_SKQG_WithStem","","C318888"
"ESP-12F","U1","RF_Module:ESP-12E","","C82891"
"MIC5219-3.3YM5-TR","U2","Package_TO_SOT_SMD:SOT-23-5","","C29613"
